checking_account_status,loan_duration_mo,credit_history,purpose,loan_amount,savings_account_balance,time_employed_yrs,payment_pcnt_income,gender_status,other_signators,time_in_residence,property,age_yrs,other_credit_outstanding,home_ownership,number_loans,job_category,dependents,telephone,foreign_worker,bad_credit
> 200 DM or salary assignment,12,current loans paid,furniture/equipment,2251,< 100 DM,1 - 4 years,1,female-divorced/separated/married,none,2,car or other,46,none,own,1,unskilled-resident,1,none,yes,0
none,18,past payment delays,radio/television,2320,< 100 DM,unemployed,2,male-married/widowed,none,3,real estate,34,none,own,2,skilled,1,none,yes,0
0 - 200 DM,36,critical account - other non-bank loans,car,2820,< 100 DM,< 1 year,4,male-divorced/separated,none,4,car or other,27,none,own,2,skilled,1,none,yes,1
none,18,current loans paid,business,1568,100 - 500 DM,1 - 4 years,3,female-divorced/separated/married,none,4,building society savings/life insurance,24,none,rent,1,unskilled-resident,1,none,yes,0
none,24,current loans paid,radio/television,3181,< 100 DM,< 1 year,4,female-divorced/separated/married,none,4,building society savings/life insurance,26,none,own,1,skilled,1,yes,yes,0
none,10,current loans paid,car,2901,unknown/none,< 1 year,1,female-divorced/separated/married,none,4,real estate,31,none,rent,1,skilled,1,none,yes,0
none,18,critical account - other non-bank loans,car,3850,< 100 DM,4 - 7 years,3,male-single,none,1,car or other,27,none,own,2,skilled,1,none,yes,0
0 - 200 DM,26,current loans paid,car,7966,< 100 DM,< 1 year,2,male-single,none,3,car or other,30,none,own,2,skilled,1,none,yes,0
< 0 DM,36,current loans paid,car,1842,< 100 DM,< 1 year,4,female-divorced/separated/married,none,4,car or other,34,none,own,1,skilled,1,yes,yes,1
< 0 DM,10,critical account - other non-bank loans,furniture/equipment,2132,unknown/none,< 1 year,2,female-divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,skilled,1,none,no,0
none,24,critical account - other non-bank loans,radio/television,2223,100 - 500 DM,>= 7 years,4,male-single,none,4,building society savings/life insurance,52,bank,own,2,skilled,1,none,yes,0
< 0 DM,18,current loans paid,radio/television,3509,< 100 DM,4 - 7 years,4,female-divorced/separated/married,guarantor,1,real estate,25,none,own,1,skilled,1,none,yes,0
none,21,current loans paid,furniture/equipment,2241,< 100 DM,>= 7 years,4,male-single,none,2,real estate,50,none,own,2,skilled,1,none,yes,0
none,24,current loans paid,car,2255,unknown/none,< 1 year,4,male-single,none,1,building society savings/life insurance,54,none,own,1,skilled,1,none,yes,0
none,12,current loans paid,furniture/equipment,1123,500 - 1000 DM,1 - 4 years,4,female-divorced/separated/married,none,4,car or other,29,none,rent,1,unskilled-resident,1,none,yes,1
none,6,critical account - other non-bank loans,radio/television,1740,< 100 DM,>= 7 years,2,male-married/widowed,none,2,real estate,30,none,rent,2,skilled,1,none,yes,0
0 - 200 DM,15,all loans at bank paid,car,1264,100 - 500 DM,1 - 4 years,2,male-married/widowed,none,2,building society savings/life insurance,25,none,rent,1,skilled,1,none,yes,1
0 - 200 DM,12,no credit - paid,furniture/equipment,2969,< 100 DM,< 1 year,4,female-divorced/separated/married,none,3,building society savings/life insurance,25,none,rent,2,skilled,1,none,yes,1
0 - 200 DM,12,critical account - other non-bank loans,car,2366,500 - 1000 DM,4 - 7 years,3,male-divorced/separated,none,3,car or other,36,none,own,1,highly skilled,1,yes,yes,0
0 - 200 DM,9,current loans paid,radio/television,1206,< 100 DM,>= 7 years,4,female-divorced/separated/married,none,4,real estate,25,none,own,1,skilled,1,none,yes,0
0 - 200 DM,12,current loans paid,radio/television,1534,< 100 DM,< 1 year,1,male-married/widowed,none,1,real estate,23,none,rent,1,skilled,1,none,yes,1
< 0 DM,18,no credit - paid,furniture/equipment,3114,< 100 DM,< 1 year,1,female-divorced/separated/married,none,4,building society savings/life insurance,26,none,rent,1,skilled,1,none,yes,1
none,18,critical account - other non-bank loans,car,1530,< 100 DM,1 - 4 years,3,male-single,none,2,building society savings/life insurance,32,bank,own,2,skilled,1,none,yes,1
0 - 200 DM,18,current loans paid,radio/television,1113,< 100 DM,1 - 4 years,4,female-divorced/separated/married,guarantor,4,real estate,26,none,own,1,unskilled-resident,2,none,yes,0
none,21,past payment delays,business,2580,500 - 1000 DM,< 1 year,4,male-single,none,2,real estate,41,bank,own,1,unskilled-resident,2,none,yes,1
< 0 DM,15,current loans paid,car,3959,< 100 DM,1 - 4 years,3,female-divorced/separated/married,none,2,building society savings/life insurance,29,none,own,1,skilled,1,yes,yes,1
< 0 DM,12,current loans paid,furniture/equipment,2578,< 100 DM,unemployed,3,female-divorced/separated/married,none,4,unknown-none,55,none,for free,1,highly skilled,1,none,yes,0
none,30,current loans paid,radio/television,2333,500 - 1000 DM,>= 7 years,4,male-single,none,2,car or other,30,bank,own,1,highly skilled,1,none,yes,0
0 - 200 DM,48,current loans paid,car,6560,100 - 500 DM,4 - 7 years,3,male-single,none,2,building society savings/life insurance,24,none,own,1,skilled,1,none,yes,1
0 - 200 DM,6,critical account - other non-bank loans,education,932,unknown/none,4 - 7 years,1,female-divorced/separated/married,none,3,building society savings/life insurance,39,none,own,2,unskilled-resident,1,none,yes,0
none,48,critical account - other non-bank loans,car,10127,500 - 1000 DM,1 - 4 years,2,male-single,none,2,unknown-none,44,bank,for free,1,skilled,1,none,yes,1
none,6,critical account - other non-bank loans,radio/television,700,unknown/none,>= 7 years,4,male-single,none,4,unknown-none,36,none,for free,2,skilled,1,none,yes,0
none,12,current loans paid,car,1101,< 100 DM,1 - 4 years,3,male-married/widowed,none,2,real estate,27,none,own,2,skilled,1,yes,yes,0
< 0 DM,12,current loans paid,furniture/equipment,1282,< 100 DM,1 - 4 years,2,female-divorced/separated/married,none,4,car or other,20,none,rent,1,skilled,1,none,yes,1
none,6,no credit - paid,car,1204,100 - 500 DM,1 - 4 years,4,male-single,none,1,unknown-none,35,bank,rent,1,skilled,1,none,no,0
none,12,current loans paid,furniture/equipment,1768,< 100 DM,1 - 4 years,3,male-single,none,2,real estate,24,none,rent,1,unskilled-resident,1,none,yes,0
none,30,critical account - other non-bank loans,radio/television,2831,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,2,car or other,33,none,own,1,skilled,1,yes,yes,0
none,12,critical account - other non-bank loans,furniture/equipment,5801,unknown/none,>= 7 years,2,male-single,none,4,building society savings/life insurance,49,none,rent,1,skilled,1,yes,yes,0
0 - 200 DM,13,critical account - other non-bank loans,radio/television,882,< 100 DM,< 1 year,4,male-single,guarantor,4,real estate,23,none,own,2,skilled,1,none,yes,0
0 - 200 DM,18,current loans paid,business,1941,>= 1000 DM,1 - 4 years,4,male-single,none,2,building society savings/life insurance,35,none,own,1,unskilled-resident,1,yes,yes,0
< 0 DM,36,current loans paid,furniture/equipment,3620,< 100 DM,1 - 4 years,1,male-single,guarantor,2,building society savings/life insurance,37,none,own,1,skilled,2,none,yes,0
0 - 200 DM,11,current loans paid,furniture/equipment,1577,>= 1000 DM,< 1 year,4,female-divorced/separated/married,none,1,real estate,20,none,own,1,skilled,1,none,yes,0
none,18,critical account - other non-bank loans,radio/television,6070,< 100 DM,>= 7 years,3,male-single,none,4,car or other,33,none,own,2,skilled,1,yes,yes,0
< 0 DM,24,current loans paid,furniture/equipment,2359,100 - 500 DM,unemployed,1,male-divorced/separated,none,1,building society savings/life insurance,33,none,own,1,skilled,1,none,yes,1
none,24,critical account - other non-bank loans,repairs,5507,< 100 DM,>= 7 years,3,male-single,none,4,unknown-none,44,none,for free,2,skilled,1,none,yes,0
> 200 DM or salary assignment,12,current loans paid,furniture/equipment,1474,< 100 DM,< 1 year,4,female-divorced/separated/married,none,1,building society savings/life insurance,33,bank,own,1,highly skilled,1,yes,yes,0
none,36,past payment delays,car,10875,< 100 DM,>= 7 years,2,male-single,none,2,car or other,45,none,own,2,skilled,2,yes,yes,0
none,30,current loans paid,car,4811,unknown/none,4 - 7 years,2,female-divorced/separated/married,none,4,building society savings/life insurance,24,stores,rent,1,unskilled-resident,1,none,yes,0
< 0 DM,12,critical account - other non-bank loans,car,691,< 100 DM,>= 7 years,4,male-single,none,3,building society savings/life insurance,35,none,own,2,skilled,1,none,yes,1
none,18,critical account - other non-bank loans,car,1055,< 100 DM,< 1 year,4,female-divorced/separated/married,none,1,building society savings/life insurance,30,none,own,2,skilled,1,none,yes,0
< 0 DM,12,all loans at bank paid,education,339,< 100 DM,>= 7 years,4,male-married/widowed,none,1,car or other,45,bank,own,1,unskilled-resident,1,none,yes,0
0 - 200 DM,24,critical account - other non-bank loans,car,3878,100 - 500 DM,< 1 year,4,male-divorced/separated,none,2,car or other,37,none,own,1,skilled,1,yes,yes,0
0 - 200 DM,36,past payment delays,business,4455,< 100 DM,1 - 4 years,2,male-divorced/separated,none,2,real estate,30,stores,own,2,highly skilled,1,yes,yes,1
none,36,current loans paid,furniture/equipment,3349,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,2,car or other,28,none,own,1,highly skilled,1,yes,yes,1
< 0 DM,24,current loans paid,car,4817,< 100 DM,4 - 7 years,2,male-single,co-applicant,3,building society savings/life insurance,31,none,own,1,skilled,1,yes,yes,1
0 - 200 DM,24,past payment delays,business,4712,unknown/none,1 - 4 years,4,male-single,none,2,building society savings/life insurance,37,bank,own,2,highly skilled,1,yes,yes,0
< 0 DM,6,current loans paid,radio/television,2647,500 - 1000 DM,1 - 4 years,2,male-single,none,3,real estate,44,none,rent,1,skilled,2,none,yes,0
< 0 DM,24,current loans paid,radio/television,1987,< 100 DM,1 - 4 years,2,male-single,none,4,real estate,21,none,rent,1,unskilled-resident,2,none,yes,1
none,36,critical account - other non-bank loans,car,3535,< 100 DM,4 - 7 years,4,male-single,none,4,car or other,37,none,own,2,skilled,1,yes,yes,0
none,15,critical account - other non-bank loans,car,3368,>= 1000 DM,>= 7 years,3,male-single,none,4,unknown-none,23,none,rent,2,skilled,1,yes,yes,0
> 200 DM or salary assignment,6,critical account - other non-bank loans,car,1343,< 100 DM,>= 7 years,1,male-single,none,4,real estate,46,none,own,2,skilled,2,none,no,0
0 - 200 DM,15,current loans paid,repairs,1514,100 - 500 DM,1 - 4 years,4,male-single,guarantor,2,real estate,22,none,own,1,skilled,1,none,yes,0
none,18,current loans paid,radio/television,1505,< 100 DM,1 - 4 years,4,male-single,none,2,unknown-none,32,none,for free,1,highly skilled,1,yes,yes,0
< 0 DM,24,all loans at bank paid,furniture/equipment,3552,< 100 DM,4 - 7 years,3,male-single,none,4,car or other,27,bank,own,1,skilled,1,none,yes,1
0 - 200 DM,24,current loans paid,car,3512,100 - 500 DM,4 - 7 years,2,male-single,none,3,car or other,38,bank,own,2,skilled,1,yes,yes,0
0 - 200 DM,12,critical account - other non-bank loans,car,958,< 100 DM,4 - 7 years,2,male-single,none,3,real estate,47,none,own,2,unskilled-resident,2,none,yes,0
< 0 DM,33,critical account - other non-bank loans,furniture/equipment,4281,500 - 1000 DM,1 - 4 years,1,female-divorced/separated/married,none,4,car or other,23,none,own,2,skilled,1,none,yes,1
none,18,current loans paid,radio/television,1126,unknown/none,< 1 year,4,female-divorced/separated/married,none,2,real estate,21,none,rent,1,skilled,1,yes,yes,0
< 0 DM,12,critical account - other non-bank loans,car,2121,< 100 DM,1 - 4 years,4,male-single,none,2,building society savings/life insurance,30,none,own,2,skilled,1,none,yes,0
none,10,current loans paid,car,1418,100 - 500 DM,1 - 4 years,3,male-single,none,2,real estate,35,none,rent,1,unskilled-resident,1,none,no,0
< 0 DM,6,current loans paid,furniture/equipment,428,< 100 DM,>= 7 years,2,female-divorced/separated/married,none,1,building society savings/life insurance,49,bank,own,1,skilled,1,yes,yes,0
none,24,current loans paid,radio/television,5943,unknown/none,< 1 year,1,female-divorced/separated/married,none,1,car or other,44,none,own,2,skilled,1,yes,yes,1
0 - 200 DM,12,current loans paid,car,7472,unknown/none,unemployed,1,female-divorced/separated/married,none,2,real estate,24,none,rent,1,unemployed-unskilled-non-resident,1,none,yes,0
< 0 DM,24,critical account - other non-bank loans,car,2957,< 100 DM,>= 7 years,4,male-single,none,4,building society savings/life insurance,63,none,own,2,skilled,1,yes,yes,0
none,24,current loans paid,business,4591,>= 1000 DM,1 - 4 years,2,male-single,none,3,building society savings/life insurance,54,none,own,3,highly skilled,1,yes,yes,1
< 0 DM,10,critical account - other non-bank loans,car,2241,< 100 DM,< 1 year,1,male-single,none,3,real estate,48,none,rent,2,unskilled-resident,2,none,no,0
none,28,critical account - other non-bank loans,radio/television,2743,< 100 DM,>= 7 years,4,male-single,none,2,car or other,29,none,own,2,skilled,1,none,yes,0
0 - 200 DM,8,current loans paid,radio/television,1414,< 100 DM,1 - 4 years,4,male-single,guarantor,2,real estate,33,none,own,1,skilled,1,none,no,0
> 200 DM or salary assignment,24,critical account - other non-bank loans,business,1275,>= 1000 DM,1 - 4 years,2,male-divorced/separated,none,4,real estate,36,none,own,2,skilled,1,yes,yes,0
< 0 DM,21,current loans paid,radio/television,1835,< 100 DM,1 - 4 years,3,female-divorced/separated/married,none,2,real estate,25,none,own,2,skilled,1,yes,yes,1
none,15,critical account - other non-bank loans,furniture/equipment,3343,< 100 DM,1 - 4 years,4,male-single,none,2,unknown-none,28,none,for free,1,skilled,1,yes,yes,0
0 - 200 DM,18,critical account - other non-bank loans,business,3590,< 100 DM,unemployed,3,male-married/widowed,none,3,car or other,40,none,own,3,unemployed-unskilled-non-resident,2,yes,yes,0
> 200 DM or salary assignment,21,current loans paid,car,2923,100 - 500 DM,1 - 4 years,1,female-divorced/separated/married,none,1,car or other,28,bank,own,1,highly skilled,1,yes,yes,0
< 0 DM,12,current loans paid,radio/television,709,< 100 DM,>= 7 years,4,male-single,none,4,real estate,57,stores,own,1,unskilled-resident,1,none,yes,1
none,27,critical account - other non-bank loans,furniture/equipment,4526,>= 1000 DM,< 1 year,4,male-single,none,2,real estate,32,stores,own,2,unskilled-resident,2,yes,yes,0
none,9,critical account - other non-bank loans,radio/television,3074,unknown/none,1 - 4 years,1,male-single,none,2,real estate,33,none,own,2,skilled,2,none,yes,0
none,12,current loans paid,radio/television,2171,< 100 DM,< 1 year,2,female-divorced/separated/married,none,2,car or other,29,bank,own,1,skilled,1,none,yes,0
none,24,critical account - other non-bank loans,education,1927,unknown/none,1 - 4 years,3,female-divorced/separated/married,none,2,car or other,33,none,own,2,skilled,1,yes,yes,0
none,12,current loans paid,furniture/equipment,1574,< 100 DM,1 - 4 years,4,male-single,none,2,real estate,50,none,own,1,skilled,1,none,yes,0
< 0 DM,12,current loans paid,radio/television,674,100 - 500 DM,4 - 7 years,4,male-married/widowed,none,1,building society savings/life insurance,20,none,own,1,skilled,1,none,yes,1
< 0 DM,10,current loans paid,radio/television,2315,< 100 DM,>= 7 years,3,male-single,none,4,real estate,52,none,own,1,unskilled-resident,1,none,yes,0
< 0 DM,24,current loans paid,car,915,unknown/none,>= 7 years,4,female-divorced/separated/married,none,2,car or other,29,bank,own,1,skilled,1,none,yes,1
< 0 DM,48,current loans paid,education,7476,< 100 DM,4 - 7 years,4,male-single,none,1,unknown-none,50,none,for free,1,highly skilled,1,yes,yes,0
0 - 200 DM,24,critical account - other non-bank loans,car,7758,>= 1000 DM,>= 7 years,2,female-divorced/separated/married,none,4,unknown-none,29,none,rent,1,skilled,1,none,yes,0
> 200 DM or salary assignment,36,current loans paid,radio/television,4473,< 100 DM,>= 7 years,4,male-single,none,2,car or other,31,none,own,1,skilled,1,none,yes,0
< 0 DM,12,no credit - paid,radio/television,6199,< 100 DM,1 - 4 years,4,male-single,none,2,building society savings/life insurance,28,none,rent,2,skilled,1,yes,yes,1
< 0 DM,36,current loans paid,furniture/equipment,5179,< 100 DM,4 - 7 years,4,male-single,none,2,building society savings/life insurance,29,none,own,1,skilled,1,none,yes,1
none,36,critical account - other non-bank loans,car,10477,unknown/none,>= 7 years,2,male-single,none,4,unknown-none,42,none,for free,2,skilled,1,none,yes,0
0 - 200 DM,36,current loans paid,radio/television,2323,< 100 DM,4 - 7 years,4,male-single,none,4,car or other,24,none,rent,1,skilled,1,none,yes,0
0 - 200 DM,48,current loans paid,radio/television,10961,>= 1000 DM,4 - 7 years,1,male-single,co-applicant,2,unknown-none,27,bank,own,2,skilled,1,yes,yes,1
none,24,current loans paid,radio/television,1901,100 - 500 DM,1 - 4 years,4,male-single,none,4,car or other,29,none,rent,1,highly skilled,1,yes,yes,0
< 0 DM,12,critical account - other non-bank loans,car,4843,< 100 DM,>= 7 years,3,male-single,co-applicant,4,building society savings/life insurance,43,none,rent,2,skilled,1,yes,yes,1
none,12,critical account - other non-bank loans,furniture/equipment,1258,< 100 DM,< 1 year,2,female-divorced/separated/married,none,4,building society savings/life insurance,22,none,rent,2,unskilled-resident,1,none,yes,0
0 - 200 DM,24,current loans paid,furniture/equipment,3069,100 - 500 DM,>= 7 years,4,male-single,none,4,unknown-none,30,none,for free,1,skilled,1,none,yes,0
< 0 DM,30,current loans paid,furniture/equipment,6350,unknown/none,>= 7 years,4,male-single,none,4,building society savings/life insurance,31,none,own,1,skilled,1,none,yes,1
0 - 200 DM,12,current loans paid,car,1318,>= 1000 DM,>= 7 years,4,male-single,none,4,real estate,54,none,own,1,skilled,1,yes,yes,0
none,18,critical account - other non-bank loans,radio/television,1149,>= 1000 DM,1 - 4 years,4,male-single,none,3,real estate,46,none,own,2,skilled,1,none,yes,0
none,10,current loans paid,furniture/equipment,2210,< 100 DM,1 - 4 years,2,male-single,none,2,real estate,25,bank,rent,1,unskilled-resident,1,none,yes,1
none,9,current loans paid,radio/television,2697,< 100 DM,1 - 4 years,1,male-single,none,2,real estate,32,none,own,1,skilled,2,none,yes,0
none,12,past payment delays,repairs,1555,>= 1000 DM,>= 7 years,4,male-single,none,4,unknown-none,55,none,for free,2,skilled,2,none,yes,1
> 200 DM or salary assignment,6,past payment delays,radio/television,683,< 100 DM,< 1 year,2,female-divorced/separated/married,none,1,building society savings/life insurance,29,bank,own,1,skilled,1,none,yes,0
< 0 DM,48,no credit - paid,car,4605,< 100 DM,>= 7 years,3,male-single,none,4,unknown-none,24,none,for free,2,skilled,2,none,yes,1
0 - 200 DM,6,current loans paid,radio/television,1068,< 100 DM,>= 7 years,4,male-single,none,4,car or other,28,none,own,1,skilled,2,none,yes,0
0 - 200 DM,15,current loans paid,car,2631,100 - 500 DM,1 - 4 years,2,female-divorced/separated/married,none,4,car or other,28,none,rent,2,skilled,1,yes,yes,1
0 - 200 DM,24,past payment delays,radio/television,1553,100 - 500 DM,4 - 7 years,3,female-divorced/separated/married,none,2,building society savings/life insurance,23,none,rent,2,skilled,1,yes,yes,0
none,9,critical account - other non-bank loans,education,1244,unknown/none,>= 7 years,4,female-divorced/separated/married,none,4,building society savings/life insurance,41,none,rent,2,unskilled-resident,1,none,yes,0
none,18,current loans paid,furniture/equipment,1533,< 100 DM,< 1 year,4,male-married/widowed,co-applicant,1,building society savings/life insurance,43,none,own,1,unskilled-resident,2,none,yes,1
< 0 DM,48,current loans paid,car,4788,< 100 DM,4 - 7 years,4,male-single,none,3,building society savings/life insurance,26,none,own,1,skilled,2,none,yes,0
none,15,critical account - other non-bank loans,furniture/equipment,2788,< 100 DM,4 - 7 years,2,female-divorced/separated/married,co-applicant,3,car or other,24,bank,own,2,skilled,1,none,yes,0
> 200 DM or salary assignment,6,current loans paid,car,709,>= 1000 DM,< 1 year,2,male-married/widowed,none,2,real estate,27,none,own,1,unemployed-unskilled-non-resident,1,none,no,0
0 - 200 DM,15,all loans at bank paid,car,6850,100 - 500 DM,unemployed,1,male-single,none,2,building society savings/life insurance,34,none,own,1,highly skilled,2,yes,yes,1
< 0 DM,24,current loans paid,furniture/equipment,2996,unknown/none,1 - 4 years,2,male-married/widowed,none,4,car or other,20,none,own,1,skilled,1,none,yes,1
0 - 200 DM,6,current loans paid,radio/television,2063,< 100 DM,< 1 year,4,male-married/widowed,none,3,car or other,30,none,rent,1,highly skilled,1,yes,yes,0
none,6,current loans paid,education,1538,< 100 DM,< 1 year,1,female-divorced/separated/married,none,2,unknown-none,56,none,own,1,skilled,1,none,yes,0
< 0 DM,24,past payment delays,radio/television,1024,< 100 DM,< 1 year,4,male-married/widowed,none,4,real estate,48,stores,own,1,skilled,1,none,yes,1
none,11,critical account - other non-bank loans,car,1393,< 100 DM,< 1 year,4,female-divorced/separated/married,none,4,car or other,35,none,own,2,highly skilled,1,none,yes,0
none,24,current loans paid,car,3488,100 - 500 DM,4 - 7 years,3,female-divorced/separated/married,none,4,car or other,23,none,own,1,skilled,1,none,yes,0
none,48,critical account - other non-bank loans,car,2751,unknown/none,>= 7 years,4,male-single,none,3,car or other,38,none,own,2,skilled,2,yes,yes,0
none,24,current loans paid,radio/television,2284,< 100 DM,4 - 7 years,4,male-single,none,2,car or other,28,none,own,1,skilled,1,yes,yes,0
< 0 DM,48,current loans paid,repairs,3051,< 100 DM,1 - 4 years,3,male-single,none,4,car or other,54,none,own,1,skilled,1,none,yes,1
none,24,critical account - other non-bank loans,radio/television,2611,< 100 DM,>= 7 years,4,male-married/widowed,co-applicant,3,real estate,46,none,own,2,skilled,1,none,yes,0
< 0 DM,18,current loans paid,car,1216,< 100 DM,< 1 year,4,female-divorced/separated/married,none,3,car or other,23,none,rent,1,skilled,1,yes,yes,1
< 0 DM,24,current loans paid,furniture/equipment,1747,< 100 DM,< 1 year,4,male-single,co-applicant,1,building society savings/life insurance,24,none,own,1,unskilled-resident,1,none,no,0
none,6,no credit - paid,radio/television,426,< 100 DM,>= 7 years,4,male-married/widowed,none,4,car or other,39,none,own,1,unskilled-resident,1,none,yes,0
< 0 DM,30,current loans paid,furniture/equipment,2406,< 100 DM,4 - 7 years,4,female-divorced/separated/married,none,4,real estate,23,none,rent,1,skilled,1,none,yes,1
0 - 200 DM,15,current loans paid,radio/television,802,< 100 DM,>= 7 years,4,male-single,none,3,car or other,37,none,own,1,skilled,2,none,yes,1
< 0 DM,36,current loans paid,furniture/equipment,3959,< 100 DM,unemployed,4,male-single,none,3,building society savings/life insurance,30,none,own,1,highly skilled,1,yes,yes,0
< 0 DM,60,current loans paid,business,7297,< 100 DM,>= 7 years,4,male-single,co-applicant,4,unknown-none,36,none,rent,1,skilled,1,none,yes,1
> 200 DM or salary assignment,18,current loans paid,furniture/equipment,2864,< 100 DM,1 - 4 years,2,male-single,none,1,real estate,34,none,own,1,unskilled-resident,2,none,yes,1
< 0 DM,20,critical account - other non-bank loans,car,2235,< 100 DM,1 - 4 years,4,male-married/widowed,guarantor,2,building society savings/life insurance,33,bank,rent,2,skilled,1,none,no,1
0 - 200 DM,48,no credit - paid,business,12204,unknown/none,1 - 4 years,2,male-single,none,2,car or other,48,bank,own,1,highly skilled,1,yes,yes,0
< 0 DM,42,current loans paid,radio/television,7174,unknown/none,4 - 7 years,4,female-divorced/separated/married,none,3,car or other,30,none,own,1,highly skilled,1,yes,yes,1
< 0 DM,24,current loans paid,radio/television,1282,100 - 500 DM,1 - 4 years,4,female-divorced/separated/married,none,2,car or other,32,none,own,1,unskilled-resident,1,none,yes,1
> 200 DM or salary assignment,21,critical account - other non-bank loans,education,2319,< 100 DM,< 1 year,2,male-divorced/separated,none,1,car or other,33,none,rent,1,skilled,1,none,yes,1
0 - 200 DM,18,past payment delays,repairs,6204,< 100 DM,1 - 4 years,2,male-single,none,4,real estate,44,none,own,1,unskilled-resident,2,yes,yes,0
< 0 DM,24,current loans paid,car,2303,< 100 DM,>= 7 years,4,male-single,co-applicant,1,real estate,45,none,own,1,skilled,1,none,yes,1
none,15,critical account - other non-bank loans,radio/television,1316,500 - 1000 DM,1 - 4 years,2,male-married/widowed,none,2,building society savings/life insurance,47,none,own,2,unskilled-resident,1,none,yes,0
0 - 200 DM,12,current loans paid,furniture/equipment,2762,unknown/none,>= 7 years,1,female-divorced/separated/married,none,2,building society savings/life insurance,25,bank,own,1,skilled,1,yes,yes,1
0 - 200 DM,24,past payment delays,furniture/equipment,2064,< 100 DM,unemployed,3,female-divorced/separated/married,none,2,building society savings/life insurance,34,none,own,1,highly skilled,1,yes,yes,1
none,30,critical account - other non-bank loans,car,7596,unknown/none,>= 7 years,1,male-single,none,4,car or other,63,none,own,2,skilled,1,none,yes,0
0 - 200 DM,15,current loans paid,repairs,1308,< 100 DM,>= 7 years,4,male-single,none,4,car or other,38,none,own,2,unskilled-resident,1,none,yes,0
< 0 DM,18,current loans paid,repairs,1217,< 100 DM,1 - 4 years,4,male-married/widowed,none,3,real estate,47,none,own,1,unskilled-resident,1,yes,yes,1
none,12,no credit - paid,furniture/equipment,2759,< 100 DM,>= 7 years,2,male-single,none,4,building society savings/life insurance,34,none,own,2,skilled,1,none,yes,0
0 - 200 DM,24,past payment delays,radio/television,6403,< 100 DM,< 1 year,1,male-single,none,2,car or other,33,none,own,1,skilled,1,none,yes,0
> 200 DM or salary assignment,24,critical account - other non-bank loans,furniture/equipment,3617,unknown/none,>= 7 years,4,male-single,co-applicant,4,unknown-none,20,none,rent,2,skilled,1,none,yes,0
0 - 200 DM,9,current loans paid,car,3195,unknown/none,1 - 4 years,1,female-divorced/separated/married,none,2,real estate,33,none,own,1,unskilled-resident,1,none,yes,0
0 - 200 DM,8,current loans paid,furniture/equipment,1237,< 100 DM,1 - 4 years,3,female-divorced/separated/married,none,4,real estate,24,none,own,1,skilled,1,none,yes,1
none,12,critical account - other non-bank loans,car,1163,500 - 1000 DM,1 - 4 years,4,male-single,none,4,real estate,44,none,own,1,skilled,1,yes,yes,0
none,6,all loans at bank paid,radio/television,1750,500 - 1000 DM,>= 7 years,2,male-single,none,4,building society savings/life insurance,45,bank,own,1,unskilled-resident,2,none,yes,0
< 0 DM,24,current loans paid,car,2812,unknown/none,>= 7 years,2,female-divorced/separated/married,none,4,real estate,26,none,rent,1,skilled,1,none,yes,0
< 0 DM,36,current loans paid,radio/television,2302,< 100 DM,1 - 4 years,4,male-divorced/separated,none,4,car or other,31,none,rent,1,skilled,1,none,yes,1
none,10,current loans paid,radio/television,1924,< 100 DM,1 - 4 years,1,male-single,none,4,building society savings/life insurance,38,none,own,1,skilled,1,yes,no,0
none,24,critical account - other non-bank loans,other,6314,< 100 DM,unemployed,4,male-single,co-applicant,2,unknown-none,27,bank,own,2,highly skilled,1,yes,yes,0
0 - 200 DM,24,current loans paid,radio/television,2039,< 100 DM,< 1 year,1,male-married/widowed,none,1,building society savings/life insurance,22,none,own,1,skilled,1,yes,yes,1
< 0 DM,24,current loans paid,car,2924,< 100 DM,1 - 4 years,3,male-single,guarantor,4,unknown-none,63,bank,own,1,skilled,2,yes,yes,0
0 - 200 DM,24,critical account - other non-bank loans,radio/television,1743,< 100 DM,>= 7 years,4,male-single,none,2,building society savings/life insurance,48,none,own,2,unskilled-resident,1,none,yes,0
none,12,current loans paid,car,1884,< 100 DM,>= 7 years,4,male-single,none,4,car or other,39,none,own,1,highly skilled,1,yes,yes,0
< 0 DM,15,critical account - other non-bank loans,furniture/equipment,975,< 100 DM,1 - 4 years,2,male-divorced/separated,none,3,building society savings/life insurance,25,none,own,2,skilled,1,none,yes,0
< 0 DM,9,current loans paid,radio/television,1364,< 100 DM,4 - 7 years,3,male-single,none,4,real estate,59,none,own,1,skilled,1,none,yes,0
0 - 200 DM,24,current loans paid,car,12579,< 100 DM,>= 7 years,4,female-divorced/separated/married,none,2,unknown-none,44,none,for free,1,highly skilled,1,yes,yes,1
0 - 200 DM,12,critical account - other non-bank loans,car,1804,100 - 500 DM,< 1 year,3,male-single,none,4,building society savings/life insurance,44,none,own,1,skilled,1,none,yes,0
0 - 200 DM,48,current loans paid,radio/television,3060,< 100 DM,4 - 7 years,4,male-single,none,4,real estate,28,none,own,2,skilled,1,none,yes,1
0 - 200 DM,18,current loans paid,business,1913,>= 1000 DM,< 1 year,3,male-married/widowed,none,3,real estate,36,bank,own,1,skilled,1,yes,yes,0
